"Name","Status","Description","References","Phase","Votes","Comments"
CVE-1999-0190,Entry,"Solaris rpcbind can be exploited to overwrite arbitrary files and gain root access.","SUN:00167   |   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/167   |   XF:sun-rpcbind",,"",""
CVE-1999-0191,Entry,"IIS newdsn.exe CGI script allows remote users to overwrite files.","OSVDB:275   |   URL:http://www.osvdb.org/275   |   XF:http-cgi-newdsn",,"",""
CVE-1999-0192,Entry,"Buffer overflow in telnet daemon tgetent routing allows remote attackers to gain root access via the TERMCAP environmental variable.","MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0192   |   SNI:SNI-20   |   XF:bsd-tel-tgetent",,"",""
CVE-1999-0193,Candidate,"Denial of service in Ascend and 3com routers, which can be rebooted by sending a zero length TCP option.","MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0193",Proposed (19990714),"   ACCEPT(5) Bishop, Cole, Northcutt, Ozancin, Shostack  |     MODIFY(2) Baker, Blake  |     NOOP(4) Armstrong, Frech, Landfield, Wall  |     REVIEWING(2) Christey, Levy","Frech> possibly XF:ascend-kill  |    I can't find a reference that lists both routers in the same reference.  |    Wall> Comment:  There is a reference about the zero length TCP option in BugTraq on  |    Feb 5, 1999  |    and it mentions Cisco, but not directly Ascend or 3Com.  CIAC Advisory I-038  |    mentions  |    vulnerabilities in Ascend, but does not mention TCP.  CIAC Advisory I-052  |    mentions  |    3Com vulnerabilities, but not TCP.  Too confusing withour better references.  |    Landfield> What are the references for this ? I cannot find a means to check it out.  |    CHANGE> [Frech changed vote from REVIEWING to NOOP]  |    Frech> Cannot reconcile to our database without further references.  |    Blake> I'm with Andre.  I only remember and can find reference to the Ascend  |    issue.  Do we have a refernce to the 3Coms?  If not, that should be  |    removed from the description.  |    Baker> http://xforce.iss.net/static/614.php	Misc Defensive Info  |    http://www.securityfocus.com/archive/1/5682	Misc Offensive Info  |    http://www.securityfocus.com/archive/1/5647	Misc Defensive Info  |    http://www.securityfocus.com/archive/1/5640	Misc Defensive Info  |    CHANGE> [Armstrong changed vote from REVIEWING to NOOP]"
CVE-1999-0194,Entry,"Denial of service in in.comsat allows attackers to generate messages.","MISC:https://www.cve.org/CVERecord?id=CVE-1999-0194   |   XF:comsat",,"",""
CVE-1999-0195,Candidate,"Denial of service in RPC portmapper allows attackers to register or unregister RPC services or spoof RPC services using a spoofed source IP address such as 127.0.0.1.","BUGTRAQ:19990128 rpcbind: deceive, enveigle and obfuscate   |   MISC:https://www.cve.org/CVERecord?id=CVE-1999-0195",Modified (19991130),"   ACCEPT(2) Balinsky, Shostack  |     MODIFY(1) Frech  |     NOOP(3) Baker, Northcutt, Wall  |     REVIEWING(2) Christey, Levy","Frech> XF:rpcbind-spoof  |    Christey> CVE-1999-0195 = CVE-1999-0461 ?  |    If this is approved over CVE-1999-0461, make sure it gets  |    XF:pmap-sset"
CVE-1999-0196,Entry,"websendmail in Webgais 1.0 allows a remote user to access arbitrary files and execute arbitrary code via the receiver parameter ($VAR_receiver variable).","BID:2077   |   URL:http://www.securityfocus.com/bid/2077   |   BUGTRAQ:19970704 Vulnerability in websendmail   |   OSVDB:237   |   URL:http://www.osvdb.org/237   |   XF:http-webgais-smail",,"",""
CVE-1999-0197,Candidate,"finger 0@host on some systems may print information on some user accounts.","MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/8378",Proposed (19990726),"   ACCEPT(1) Baker  |     MODIFY(2) Frech, Shostack  |     REJECT(1) Northcutt","Shostack> fingerd may respond to 'finger 0@host' with account info  |    Frech> Need more reference to establish this 'exposure'.  |    CHANGE> [Frech changed vote from REVIEWING to MODIFY]  |    Frech> XF:finger-unused-accounts(8378)  |    We're entering it into our database solely to track  |    competition. The only references seem to be product listings:  |    http://hq.mcafeeasap.com/vulnerabilities/vuln_data/1000.asp (1002  |    Finger 0@host check)  |    http://www.ipnsa.com/ipnsa_vuln.htm?step=1000 (Finger 0@host check)  |    http://cgi.nessus.org/plugins/dump.php3?id=10069 (Finger zero at host  |    feature)"
CVE-1999-0198,Candidate,"finger .@host on some systems may print information on some user accounts.","MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/8378",Proposed (19990726),"   ACCEPT(1) Baker  |     MODIFY(2) Frech, Shostack  |     REJECT(1) Northcutt","Shostack> as above  |    Frech> Need more reference to establish this 'exposure'.  |    CHANGE> [Frech changed vote from REVIEWING to MODIFY]  |    Frech> XF:finger-unused-accounts(8378)  |    We're entering it into our database solely to track  |    competition. The only references seem to be product listings:  |    http://hq.mcafeeasap.com/vulnerabilities/vuln_data/1000.asp (1004  |    Finger .@target-host check)  |    http://www.ipnsa.com/ipnsa_vuln.htm?step=1000 (Finger .@target-host  |    check )  |    http://cgi.nessus.org/plugins/dump.php3?id=10072 (Finger dot at host  |    feature)"
CVE-1999-0199,Candidate,"manual/search.texi in the GNU C Library (aka glibc) before 2.2 lacks a statement about the unspecified tdelete return value upon deletion of a tree's root, which might allow attackers to access a dangling pointer in an application whose developer was unaware of a documentation update from 1999.","MISC:https://ftp.gnu.org/gnu/glibc/glibc-2.2.tar.gz   |   MISC:https://github.com/bminor/glibc/commit/2864e767053317538feafa815046fff89e5a16be#diff-94e8c502f255fdfc346df0e29fd4ef40   |   MISC:https://www.cee.studio/tdelete.html",Assigned (20201006),"None (candidate not yet proposed)",""
CVE-1999-0200,Candidate,"Windows NT FTP server (WFTP) with the guest account enabled without a password allows an attacker to log into the FTP server using any username and password.","MISC:http://www.microsoft.com/technet/support/kb.asp?ID=137853   |   MSKB:Q137853",Modified (19991130),"   ACCEPT(1) Baker  |     MODIFY(2) Frech, Shostack  |     NOOP(2) Northcutt, Wall  |     REJECT(1) Christey  |     REVIEWING(1) Levy","Shostack> WFTP is not sufficient; is this wu-, ws-, war-, or another?  |    Frech> Other have mentioned this before, but it may be WU-FTP.  |    POSSIBLY XF:ftp-exec; does this have to do with the Site Exec allowing root  |    access without anon FTP or a regular account?  |    POSSIBLY XF:wu-ftpd-exec;same as above conditions, but instead from a  |    non-anon FTP account and gain root privs.  |    Christey> added MSKB reference  |    CHANGE> [Christey changed vote from REVOTE to REJECT]  |    Christey> The MSKB article may have confused things even more.  There  |    were reports of problems in a Windows-based FTP server called  |    WFTP (http://www.wftpd.com/) that is not a Microsft FTP  |    server.  It's best to just kill this candidate where it  |    stands and start fresh."
CVE-1999-0201,Entry,"A quote cwd command on FTP servers can reveal the full path of the home directory of the ""ftp"" user.","MISC:https://www.cve.org/CVERecord?id=CVE-1999-0201   |   XF:ftp-home",,"",""
CVE-1999-0202,Entry,"The GNU tar command, when used in FTP sessions, may allow an attacker to execute arbitrary commands.","MISC:https://www.cve.org/CVERecord?id=CVE-1999-0202   |   XF:ftp-exectar",,"",""
CVE-1999-0203,Entry,"In Sendmail, attackers can gain root privileges via SMTP by specifying an improper ""mail from"" address and an invalid ""rcpt to"" address that would cause the mail to bounce to a program.","CERT:CA-95.08   |   CIAC:E-03   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0203   |   XF:smtp-sendmail-version5",,"",""
CVE-1999-0204,Entry,"Sendmail 8.6.9 allows remote attackers to execute root commands, using ident.","CIAC:F-13   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0204   |   XF:ident-bo",,"",""
CVE-1999-0205,Candidate,"Denial of service in Sendmail 8.6.11 and 8.6.12.","BUGTRAQ:19990708 SM 8.6.12   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0205",Modified (19990925),"   ACCEPT(2) Hill, Northcutt  |     MODIFY(2) Frech, Prosser  |     NOOP(1) Baker  |     REVIEWING(2) Christey, Ozancin","Frech> XF:sendmail-alias-dos  |    Prosser> additional source  |    Bugtraq  |    ""Re:  SM 8.6.12""  |    http://www.securityfocus.com  |    Christey> The Bugtraq thread does not provide any proof, including a  |    comment by Eric Allman that he hadn't been provided any  |    details either.  |      |    See http://www.securityfocus.com/templates/archive.pike?list=1&date=1995-07-8&thread=199507131402.KAA02492@bedbugs.net.ohio-state.edu  |    for the thread.  |    Christey> Change Bugtraq reference date to 19950708."
CVE-1999-0206,Entry,"MIME buffer overflow in Sendmail 8.8.0 and 8.8.1 gives root access.","AUSCERT:AA-96.06a   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0206   |   XF:sendmail-mime-bo",,"",""
CVE-1999-0207,Entry,"Remote attacker can execute commands through Majordomo using the Reply-To field and a ""lists"" command.","CERT:CA-94.11.majordomo.vulnerabilities   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0207   |   XF:majordomo-exe",,"",""
CVE-1999-0208,Entry,"rpc.ypupdated (NIS) allows remote users to execute arbitrary commands.","CERT:CA-95.17.rpc.ypupdated.vul   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0208   |   XF:rpc-update",,"",""
CVE-1999-0209,Entry,"The SunView (SunTools) selection_svc facility allows remote users to read files.","BID:8   |   URL:http://www.securityfocus.com/bid/8   |   CERT:CA-90.05.sunselection.vulnerability   |   XF:selsvc",,"",""
CVE-1999-0210,Entry,"Automount daemon automountd allows local or remote users to gain privileges via shell metacharacters.","BID:235   |   URL:http://www.securityfocus.com/bid/235   |   BUGTRAQ:19971126 Solaris 2.5.1 automountd exploit (fwd)   |   URL:http://marc.info/?l=bugtraq&m=88053459921223&w=2   |   BUGTRAQ:19990103 SUN almost has a clue! (automountd)   |   URL:http://marc.info/?l=bugtraq&m=91547759121289&w=2   |   CERT:CA-99-05   |   URL:http://www.cert.org/advisories/CA-99-05-statd-automountd.html   |   HP:HPSBUX9910-104   |   URL:http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9910-104",,"",""
CVE-1999-0211,Entry,"Extra long export lists over 256 characters in some mount daemons allows NFS directories to be mounted by anyone.","BID:24   |   URL:http://www.securityfocus.com/bid/24   |   CERT:CA-94.02.REVISED.SunOS.rpc.mountd.vulnerability",,"",""
CVE-1999-0212,Entry,"Solaris rpc.mountd generates error messages that allow a remote attacker to determine what files are on the server.","CIAC:I-048   |   URL:http://www.ciac.org/ciac/bulletins/i-048.shtml   |   SUN:00168   |   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/168   |   XF:sun-mountd",,"",""
CVE-1999-0213,Candidate,"libnsl in Solaris allowed an attacker to perform a denial of service of rpcbind.","MISC:http://www.securityfocus.com/archive/1/9749   |   SUNBUG:4305859   |   XF:sun-libnsl",Modified (20001009),"   ACCEPT(6) Blake, Cole, Dik, Hill, Landfield, Ozancin  |     MODIFY(3) Baker, Frech, Levy  |     NOOP(4) Armstrong, Bishop, Meunier, Wall  |     REVIEWING(1) Christey","Frech> XF:sun-libnsl  |    Dik> Sun bug #4305859  |    Baker> http://xforce.iss.net/static/1204.php	Misc Defensive Info  |    http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/172&type=0&nav=sec.sba	Vendor Info  |    http://www-1.ibm.com/services/continuity/recover1.nsf/advisories/A1050E354364BF498525680F0077E414/$file/ERS-OAR-E01-1998_074_1.txt	Vendor Info  |    http://www.securityfocus.com/archive/1/9749	Misc Defensive Info  |    Christey> I don't think this is the bug that everyone thinks it is.  |    This candidate came from CyberCop Scanner 2.4/2.5, which  |    only reports this as a DoS problem.  If SUN:00172 is an  |    advisory for this, then it may be a duplicate of  |    CVE-1999-0055.  There appears to be overlap with other  |    references as well.  HOWEVER, this particular one deals with a  |    DoS in rpcbind - which isn't mentioned in the sources for  |    CVE-1999-0055.  |    Levy> BID 148"
CVE-1999-0214,Entry,"Denial of service by sending forged ICMP unreachable packets.","MISC:https://www.cve.org/CVERecord?id=CVE-1999-0214   |   XF:icmp-unreachable",,"",""
CVE-1999-0215,Entry,"Routed allows attackers to append data to files.","CIAC:J-012   |   URL:http://www.ciac.org/ciac/bulletins/j-012.shtml   |   SGI:19981004-01-PX   |   URL:ftp://patches.sgi.com/support/free/security/advisories/19981004-01-PX   |   XF:ripapp",,"",""
CVE-1999-0216,Candidate,"Denial of service of inetd on Linux through SYN and RST packets.","BUGTRAQ:19971130 Linux inetd..   |   HP:HPSBUX9803-077   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0216   |   XF:hp-inetd   |   XF:linux-inetd-dos",Modified (19991203),"   ACCEPT(1) Hill  |     MODIFY(2) Baker, Frech  |     RECAST(1) Meunier","Meunier> The location of the vulnerability, whether in the Linux kernel or the  |    application, is debatable.  Any program making the same (reasonnable)  |    assumption is vulnerable, i.e., implements the same vulnerability:  |    ""Assumption that TCP-three-way handshake is complete after calling Linux  |    kernel function accept(), which returns socket after getting SYN.   Result  |    is process death by SIGPIPE""  |    Moreover, whether it results in DOS (to third parties) depends on the  |    process that made the assumption.  |    I think that the present entry should be split, one entry for every  |    application that implements the vulnerability (really describing threat  |    instances, which is what other people think about when we talk about  |    vulnerabilities), and one entry for the Linux kernel that allows the  |    vulnerability to happen.  |    Frech> XF:hp-inetd  |    XF:linux-inetd-dos  |    Baker> Since we have an hpux bulletin, the description should not specifically say Linux, should it?  It applies to mulitple OS and should be likely either modified, or in extreme case, recast"
CVE-1999-0217,Entry,"Malicious option settings in UDP packets could force a reboot in SunOS 4.1.3 systems.","MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0217   |   XF:udp-bomb",,"",""
CVE-1999-0218,Entry,"Livingston portmaster machines could be rebooted via a series of commands.","MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0218   |   XF:portmaster-reboot",,"",""
CVE-1999-0219,Entry,"Buffer overflow in FTP Serv-U 2.5 allows remote authenticated users to cause a denial of service (crash) via a long (1) CWD or (2) LS (list) command.","BID:269   |   URL:http://www.securityfocus.com/bid/269   |   BUGTRAQ:19990909 Exploit: Serv-U Ver2.5 FTPd Win9x/NT   |   NTBUGTRAQ:19990503 Buffer overflows in FTP Serv-U 2.5   |   URL:http://marc.info/?l=ntbugtraq&m=92574916930144&w=2   |   NTBUGTRAQ:19990504 Re: Buffer overflows in FTP Serv-U 2.5   |   URL:http://marc.info/?l=ntbugtraq&m=92582581330282&w=2   |   XF:ftp-servu(205)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/205",,"",""
CVE-1999-0220,Candidate,"Attackers can do a denial of service of IRC by crashing the server.","MISC:https://www.cve.org/CVERecord?id=CVE-1999-0220",Proposed (19990728),"   NOOP(2) Baker, Northcutt  |     REJECT(2) Christey, Frech","Frech> Would reconsider if any references were available.  |    Christey> No references available, combined with extremely vague  |    description, equals REJECT."
CVE-1999-0221,Entry,"Denial of service of Ascend routers through port 150 (remote administration).","MISC:https://www.cve.org/CVERecord?id=CVE-1999-0221   |   XF:ascend-150-kill",,"",""
CVE-1999-0222,Candidate,"Denial of service in Cisco IOS web server allows attackers to reboot the router using a long URL.","MISC:http://www.securityfocus.com/archive/1/60159",Proposed (19990714),"   ACCEPT(1) Baker  |     MODIFY(3) Frech, Levy, Shostack  |     NOOP(3) Balinsky, Northcutt, Wall  |     RECAST(1) Ziese  |     REJECT(1) Christey","Shostack> I follow cisco announcements and problems pretty closely, and haven't  |    seen this.  Source?  |    Frech> XF:cisco-web-crash  |    Christey> XF:cisco-web-crash has no additional references.  I can't find  |    any references in Bugtraq or Cisco either.  This bug is  |    supposedly tested by at least one security product, but that  |    product's database doesn't have any references either.  So  |    a question becomes, how did it make it into at least two  |    security companies' databases?  |    Levy> BUGTGRAQ: http://www.securityfocus.com/archive/1/60159  |    BID 1154  |    Ziese> The vulnerability is addressed by a vendor acknowledgement.  This one, if  |    recast to reflect that ""...after using a long url..."" should be replaced  |    with  |    ""...A defect in multiple releases of Cisco IOS software will cause a Cisco  |    router or switch to halt and reload if the IOS HTTP service is enabled,  |    browsing to ""http://router-ip/anytext?/"" is attempted, and the enable  |    password is supplied when requested. This defect can be exploited to produce  |    a denial of service (DoS) attack.""  |    Then I can accept this and mark it as ""Verfied by my Company"".  If it can't  |    be recast because this (long uri) is diffferent then our release (special  |    url construction).  |    CHANGE> [Christey changed vote from REVIEWING to REJECT]  |    Christey> Elias Levy's suggested reference is CVE-2000-0380.  |    I don't think that Kevin's description is really addressing  |    this either.  The lack of references and a specific  |    description make this candidate unusable, so it should be  |    rejected."
CVE-1999-0223,Entry,"Solaris syslogd crashes when receiving a message from a host that doesn't have an inverse DNS entry.","BID:1878   |   URL:http://www.securityfocus.com/bid/1878   |   BUGTRAQ:19961109 Syslogd and Solaris 2.4   |   CONFIRM:http://sunsolve.Sun.COM/pub-cgi/retrieve.pl?patchid=103291&collection=fpatches   |   SUNBUG:1249320   |   XF:sol-syslogd-crash",,"",""
CVE-1999-0224,Entry,"Denial of service in Windows NT messenger service through a long username.","MISC:https://www.cve.org/CVERecord?id=CVE-1999-0224   |   XF:nt-messenger",,"",""
CVE-1999-0225,Entry,"Windows NT 4.0 allows remote attackers to cause a denial of service via a malformed SMB logon request in which the actual data size does not match the specified size.","MSKB:Q180963   |   URL:http://www.microsoft.com/technet/support/kb.asp?ID=180963   |   NAI:19980214 Windows NT Logon Denial of Service   |   URL:http://www.nai.com/nai_labs/asp_set/advisory/25_windows_nt_dos_adv.asp   |   XF:nt-logondos",,"",""
CVE-1999-0226,Candidate,"Windows NT TCP/IP processes fragmented IP packets improperly, causing a denial of service.","MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0226",Proposed (19990728),"   ACCEPT(1) Northcutt  |     MODIFY(1) Frech  |     NOOP(1) Baker  |     REJECT(1) Christey","Christey> Too general, and no references.  |    Frech> XF:nt-frag(528)  |    See reference from BugTraq Mailing List, ""A New Fragmentation Attack"" at  |    http://www.securityfocus.com/templates/archive.pike?list=1&date=1997-07-8&ms  |    g=Pine.SUN.3.94.970710054440.11707A-100000@dfw.dfw.net"
CVE-1999-0227,Entry,"Access violation in LSASS.EXE (LSA/LSARPC) program in Windows NT allows a denial of service.","MSKB:Q154087   |   URL:http://support.microsoft.com/default.aspx?scid=kb;[LN];Q154087   |   XF:nt-lsass-crash",,"",""
CVE-1999-0228,Entry,"Denial of service in RPCSS.EXE program (RPC Locator) in Windows NT.","MSKB:Q162567   |   URL:http://support.microsoft.com/default.aspx?scid=kb;[LN];Q162567   |   XF:nt-rpc-ver",,"",""
CVE-1999-0229,Candidate,"Denial of service in Windows NT IIS server using ..\..","MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0229   |   MSKB:Q115052",Modified (19991228),"   ACCEPT(2) Baker, Shostack  |     MODIFY(2) Frech, Wall  |     NOOP(1) Northcutt  |     REJECT(1) Christey  |     REVIEWING(1) Levy","Wall> Denial of service in Windows NT IIS Server 1.0 using ..\...  |    Source: Microsoft Knowledge Base Article Q115052 - IIS Server.  |    Frech> XF:http-dotdot (not necessarily IIS?)  |    Christey> DELREF XF:http-dotdot - it deals with a read/access dot dot  |    problem.  |    Christey> This actually looks like XF:iis-dot-dot-crash(1638)  |    http://xforce.iss.net/static/1638.php  |    If so, include the version number (2.0)  |      |    CHANGE> [Christey changed vote from REVOTE to REJECT]  |    Christey> Bill Wall intended to suggest Q155052, but the affected  |    IIS version there is 1.0; the effect is to read files,  |    so this sounds like a directory traversal problem,  |    instead of an inability to process certain strings.  |      |    As a result, this candidate is too general, since it could  |    apply to 2 different problems, so it should be REJECTed.  |    Christey> Consider adding BID:2218"
CVE-1999-0230,Entry,"Buffer overflow in Cisco 7xx routers through the telnet service.","CISCO:http://www.cisco.com/warp/public/770/pwbuf-pub.shtml   |   OSVDB:1102   |   URL:http://www.osvdb.org/1102",,"",""
CVE-1999-0231,Candidate,"Buffer overflow in IP-Switch IMail and Seattle Labs Slmail 2.6 packages using a long VRFY command, causing a denial of service and possibly remote access.","BUGTRAQ:19990317 Re: SLMail 2.6 DoS - Imail also   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0231",Modified (19991207),"   ACCEPT(2) Baker, Levy  |     NOOP(3) Christey, Landfield, Northcutt  |     RECAST(1) Frech  |     REVIEWING(1) Ozancin","Frech> XF:slmail-vrfyexpn-overflow (for Slmail v3.2 and below)  |    XF:smtp-vrfy-bo (many mail packages)  |    Northcutt> (There is no way I will have access to these systems)  |    Christey> Some sources report that VRFY and EXPN are both affected."
CVE-1999-0232,Candidate,"Buffer overflow in NCSA WebServer (version 1.5c) gives remote access.","MISC:https://www.cve.org/CVERecord?id=CVE-1999-0232",Modified (19991220),"   ACCEPT(2) Hill, Northcutt  |     MODIFY(1) Frech  |     NOOP(1) Prosser  |     REJECT(1) Baker  |     REVIEWING(1) Christey","Frech> Unable to provide a match due to vague/insufficient description/references.  |    Possible matches are:  |    XF:ftp-ncsa (probably not, considering you've mentioned the webserver.)  |    XF:http-ncsa-longurl (highest probability)  |    Christey> CVE-1999-0235 is the one associated with XF:http-ncsa-longurl  |    More research is necessary for this one.  |    Baker> Since this has no references at all, and is vague and we have a  |    CAN for the most likely issue, we should kill this one"
CVE-1999-0233,Entry,"IIS 1.0 allows users to execute arbitrary commands using .bat or .cmd files.","MSKB:Q148188   |   URL:http://support.microsoft.com/default.aspx?scid=kb;[LN];Q148188   |   MSKB:Q155056   |   URL:http://support.microsoft.com/default.aspx?scid=kb;[LN];Q155056   |   XF:http-iis-cmd",,"",""
CVE-1999-0234,Entry,"Bash treats any character with a value of 255 as a command separator.","CERT:CA-96.22.bash_vuls   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0234   |   XF:bash-cmd",,"",""
CVE-1999-0235,Candidate,"Buffer overflow in NCSA WebServer (1.4.1 and below) gives remote access.","CERT:CA-95:04   |   CIAC:F-11   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0235",Modified (19991220),"   ACCEPT(3) Hill, Northcutt, Prosser  |     MODIFY(1) Frech  |     REJECT(2) Baker, Christey","Frech> XF:http-ncsa-longurl  |    Christey> CVE-1999-0235 has the same ref's as CVE-1999-0267  |    Baker> Not to mention, the X-force listings of http-ncsa-longurl and http-port both  |    refer to the same problem.  This should be rejected as 1999-0267 is the same problem."
CVE-1999-0236,Entry,"ScriptAlias directory in NCSA and Apache httpd allowed attackers to read CGI programs.","MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0236   |   XF:http-scriptalias",,"",""
CVE-1999-0237,Entry,"Remote execution of arbitrary commands through Guestbook CGI program.","CERT:VB-97.02   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0237   |   XF:http-cgi-guestbook",,"",""
CVE-1999-0238,Candidate,"php.cgi allows attackers to read any file on the system.","MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0238   |   XF:http-cgi-phpfileread",Proposed (19990623),"   ACCEPT(5) Baker, Collins, Frech, Northcutt, Prosser  |     NOOP(1) Christey","Prosser> additional source  |    AUSCERT External Security Bulletin ESB-97.047  |    http://www.auscert.org.au  |    Christey> ADDREF BUGTRAQ:19970416 Update on PHP/FI hole  |    URL:http://www.dataguard.no/bugtraq/1997_2/0069.html  |    The attacker specifies the filename as an argument to the  |    program.  |    Add ""PHP/FI"" to description to facilitate search.  |    AUSCERT URL is ftp://ftp.auscert.org.au/pub/auscert/ESB/ESB-97.047  |    Christey> Consider adding BID:2250"
CVE-1999-0239,Entry,"Netscape FastTrack Web server lists files when a lowercase ""get"" command is used instead of an uppercase GET.","OSVDB:122   |   URL:http://www.osvdb.org/122   |   XF:fastrack-get-directory-list",,"",""
CVE-1999-0240,Candidate,"Some filters or firewalls allow fragmented SYN packets with IP reserved bits in violation of their implemented policy.","MISC:https://www.cve.org/CVERecord?id=CVE-1999-0240",Proposed (19990728),"   ACCEPT(1) Northcutt  |     NOOP(1) Baker  |     REJECT(1) Frech","Frech> Would reconsider if any references were available."
CVE-1999-0241,Candidate,"Guessable magic cookies in X Windows allows remote attackers to execute commands, e.g. through xterm.","MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0241   |   XF:http-xguess-cookie",Modified (19990925),"   ACCEPT(3) Hill, Northcutt, Proctor  |     MODIFY(2) Frech, Prosser  |     NOOP(1) Baker  |     REVIEWING(1) Christey","Frech> Also add to references:  |    XF:sol-mkcookie  |    Prosser> additional source  |    Bugtraq  |    ""X11 cookie hijacker""  |    http://www.securityfocus.com  |    Christey> The cookie hijacker thread has to do with stealing cookies  |    through a file with bad permissions.  I'm not sure the  |    X-Force reference identifies this problem either.  |    Christey> CIAC:G-04  |    URL:http://ciac.llnl.gov/ciac/bulletins/g-04.shtml  |    SGI:19960601-01-I  |    URL:ftp://patches.sgi.com/support/free/security/advisories/19960601-01-I  |    CERT:VB-95:08"
CVE-1999-0242,Candidate,"Remote attackers can access mail files via POP3 in some Linux systems that are using shadow passwords.","BUGTRAQ:19951222 mailx-5.5 (slackware /bin/mail) security hole   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0242   |   XF:linux-pop3d",Modified (20000106),"   ACCEPT(1) Baker  |     MODIFY(1) Frech  |     NOOP(4) Christey, Northcutt, Shostack, Wall  |     REVIEWING(1) Levy","Frech> Ambiguous description: need more detail. Possibly:  |    XF:linux-pop3d (mktemp() leads to reading e-mail)  |    Christey> At first glance this might look like CVE-1999-0123 or  |    CVE-1999-0125, however this particular candidate arises out  |    of a brief mention of the problem in a larger posting which  |    discusses CVE-1999-0123 (which may be the same bug as  |    CVE-1999-0125).  See the following phrase in the Bugtraq  |    post: ""one such example of this is in.pop3d""  |      |    However, the original source of this candidate's description  |    explicitly mentions shadowed passwords, though it has no  |    references to help out here."
CVE-1999-0243,Candidate,"Linux cfingerd could be exploited to gain root access.","MISC:http://www.geocrawler.com/archives/3/92/1996/9/0/2217716/",Proposed (19990714),"   ACCEPT(1) Shostack  |     NOOP(4) Baker, Levy, Northcutt, Wall  |     REJECT(2) Christey, Frech","Christey> This has no sources; neither does the original database that  |    this entry came from.  It's a likely duplicate of   |    CVE-1999-0813.  |    Frech> I disagree on the dupe; see Linux-Security Mailing List,  |    ""[linux-security] Cfinger (Yet more :)"" at  |    http://www.geocrawler.com/archives/3/92/1996/9/0/2217716/. Seems as  |    if v1.2.3 is vulnerable, perhaps 1.3.0 also. CVE-1999-0813 pertains  |    to 1.4.x and below and shows up two years later.  |    CHANGE> [Frech changed vote from REVIEWING to REJECT]  |    Frech> If the reference I previously supplied is correct, then  |    it appears as if the poster modified the source using authorized   |    access to make it vulnerable. Modifying the source in this manner   |    does not qualify as being listed a vulnerability.  |    I disagree on the dupe; see Linux-Security Mailing List,  |    ""[linux-security] Cfinger (Yet more :)"" at  |    http://www.geocrawler.com/archives/3/92/1996/9/0/2217716/. Seems as  |    if v1.2.3 is vulnerable, perhaps 1.3.0 also. CVE-1999-0813 pertains  |    to 1.4.x and below and shows up two years later."
CVE-1999-0244,Entry,"Livingston RADIUS code has a buffer overflow which can allow remote execution of commands as root.","MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0244   |   NAI:NAI-23   |   XF:radius-accounting-overflow",,"",""
CVE-1999-0245,Entry,"Some configurations of NIS+ in Linux allowed attackers to log in as the user ""+"".","BUGTRAQ:19950907 Linux NIS security problem hole and fix   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0245   |   XF:linux-plus",,"",""
